,degree,in_degree,out_degree,degree_centrality,betweenness,eigenvector,capital,gnn_failure_prob
Bank31,8.0,6.0,5.0,0.09876543209876543,0.03191291387448959,0.01134203409169816,3.63,0.00029455608455464244
Bank32,6.0,5.0,5.0,0.07407407407407407,0.004468857171882701,0.007538088683136703,2.55,9.769899770617485e-05
Bank33,6.0,3.0,5.0,0.07407407407407407,0.038513006445950834,0.007880623502954952,2.73,0.00011754535807995126
Bank34,6.0,5.0,5.0,0.07407407407407407,0.015140629664505781,0.013529214772724531,2.39,3.9724527596263215e-06
Bank35,8.0,7.0,5.0,0.09876543209876543,0.04285994456987814,0.01654279969400917,2.73,2.8948406907147728e-05
Bank36,5.0,4.0,5.0,0.06172839506172839,0.02295486845463065,0.016228913351238692,2.04,9.55258947215043e-05
Bank37,6.0,4.0,5.0,0.07407407407407407,0.028223922261177627,0.01921861926656216,3.54,0.00022972826263867319
Bank38,8.0,8.0,5.0,0.09876543209876543,0.02754546755527536,0.020209083764632083,3.12,5.994580715196207e-05
Bank39,5.0,5.0,5.0,0.06172839506172839,0.0022771581959354294,0.011319627183578814,3.39,3.3337475997541333e-06
Bank40,7.0,7.0,5.0,0.08641975308641975,0.048387447265285856,0.028003873260870234,1.84,1.4540471049429016e-09
Bank41,10.0,10.0,5.0,0.12345679012345678,0.15405229563893458,0.02049943719342121,1.46,4.1073451484407997e-07
Bank42,7.0,2.0,5.0,0.08641975308641975,0.093105326319439,0.09585935920319777,2.54,1.3160574781068135e-06
Bank43,7.0,4.0,5.0,0.08641975308641975,0.07077340262002386,0.043785275064479816,1.85,0.00030762780806981027
Bank44,6.0,3.0,5.0,0.07407407407407407,0.05586636960601868,0.1049439816027429,2.6,0.5383867025375366
Bank45,6.0,5.0,5.0,0.07407407407407407,0.024168512485546113,0.06431555714523554,2.65,0.00011164318129885942
Bank46,5.0,2.0,5.0,0.06172839506172839,0.024523278926772217,0.009491624721975503,2.11,1.2794738495358615e-06
Bank47,6.0,6.0,5.0,0.07407407407407407,0.004437185946411632,0.011328454693154669,4.35,8.674656783114187e-06
Bank48,8.0,8.0,5.0,0.09876543209876543,0.017166835246585063,0.015160643682035867,2.02,3.010226805599814e-07
Bank49,5.0,2.0,5.0,0.06172839506172839,0.006758999058405006,0.013296896071663343,2.79,2.6464746838428255e-07
Bank50,6.0,6.0,5.0,0.07407407407407407,0.01588070285983821,0.009025549172595328,3.02,2.2702402020513546e-06
Bank51,5.0,3.0,5.0,0.06172839506172839,0.0018978475897102013,0.010970859892215948,2.54,7.917285984149203e-06
Bank52,6.0,3.0,5.0,0.07407407407407407,0.008665838218641017,0.019350721021812314,3.49,2.4438318177999463e-06
Bank53,6.0,4.0,5.0,0.07407407407407407,0.03226277379503319,0.011119490883340135,2.1,0.0006889654905535281
Bank54,6.0,5.0,5.0,0.07407407407407407,0.02243708104798172,0.011681558975840431,1.8,1.9621254523372045e-06
Bank55,5.0,5.0,5.0,0.06172839506172839,0.005259130563027873,0.008236234391362854,2.12,4.0043849480753124e-07
Bank56,8.0,8.0,5.0,0.09876543209876543,0.03322190727867143,0.01361150651177699,3.62,2.0942018181813182e-06
Bank57,10.0,9.0,5.0,0.12345679012345678,0.043698201837690256,0.015550800755495423,3.32,3.877929884765763e-06
Bank58,6.0,6.0,5.0,0.07407407407407407,0.03829304852616053,0.010070982322189443,2.32,6.812219766061389e-08
Bank59,8.0,7.0,5.0,0.09876543209876543,0.03446261967145011,0.025987552606108782,3.65,4.2849755118368194e-05
Bank60,8.0,8.0,5.0,0.09876543209876543,0.03444235328458099,0.037260214657484074,2.45,1.9528566554072313e-05
Bank61,7.0,5.0,5.0,0.08641975308641975,0.007861154597782895,0.018547602982078436,3.71,6.501650932477787e-05
Bank62,6.0,6.0,5.0,0.07407407407407407,0.003809084438541692,0.020617810325293945,3.25,0.0011640996672213078
Bank63,8.0,8.0,5.0,0.09876543209876543,0.01994365834859284,0.026738504793664356,2.24,5.5842523579485714e-05
Bank64,7.0,6.0,5.0,0.08641975308641975,0.022282075455355776,0.02088061270369928,4.23,1.724949288472999e-05
Bank65,7.0,3.0,5.0,0.08641975308641975,0.05718822354405402,0.013288123818828197,4.26,1.0837252517603702e-07
Bank66,7.0,4.0,5.0,0.08641975308641975,0.03556624989737305,0.014388691033795458,3.08,8.386830359086161e-07
Bank67,5.0,4.0,5.0,0.06172839506172839,0.0,0.06111632299547784,4.27,2.9270841750417276e-08
Bank68,9.0,7.0,5.0,0.1111111111111111,0.05326706247413316,0.1772016137086216,4.26,3.495148484944366e-05
Bank69,6.0,6.0,5.0,0.07407407407407407,0.0022912217249607377,0.07812911021776656,1.5,2.438081594391406e-07
Bank70,5.0,4.0,5.0,0.06172839506172839,0.0,0.06111632299547784,1.77,3.924803024801804e-07
Bank71,5.0,4.0,5.0,0.06172839506172839,0.0,0.06111632299547784,3.44,4.561303157402108e-08
Bank72,5.0,2.0,5.0,0.06172839506172839,0.006608410584586543,0.1458653978100804,3.28,8.844861554280214e-07
Bank73,5.0,2.0,5.0,0.06172839506172839,0.0017076363319026245,0.179408620451848,2.6,8.206734491977841e-07
Bank74,5.0,1.0,5.0,0.06172839506172839,0.006307699862477164,0.018882343998937245,2.69,5.84478755172313e-07
Bank75,5.0,5.0,5.0,0.06172839506172839,0.011952334716583732,0.03213972840892804,2.41,2.718805262702517e-06
Bank76,5.0,2.0,5.0,0.06172839506172839,0.06917210844608711,0.018943930884955322,1.56,2.9968416129122488e-05
Bank77,5.0,3.0,5.0,0.06172839506172839,0.02995507138576571,0.010390807442651844,1.4,2.121268516930286e-05
Bank78,6.0,3.0,5.0,0.07407407407407407,0.031959125374012125,0.012573930804861433,1.62,2.339828097319696e-05
Bank79,5.0,1.0,5.0,0.06172839506172839,0.059161485816714786,0.010104101154450039,3.49,5.479716591594297e-08
Bank80,6.0,4.0,5.0,0.07407407407407407,0.01433452546029668,0.009332800108417609,3.42,5.013315239921212e-05
Bank81,5.0,3.0,5.0,0.06172839506172839,0.0341413420544479,0.008258959653527862,3.58,8.657961734570563e-05
Bank82,5.0,4.0,5.0,0.06172839506172839,0.009497392407003038,0.04946695552226679,3.97,5.529237387236208e-05
