source,target,exposure
Bank67,Bank4,0.772060892
Bank67,Bank69,0.938690181
Bank67,Bank70,0.944786254
Bank67,Bank71,0.992374675
Bank39,Bank35,0.82171042
Bank39,Bank36,0.828350966
Bank39,Bank37,0.902557363
Bank39,Bank38,0.904586998
Bank39,Bank34,0.981249733
Bank72,Bank69,0.773457384
Bank72,Bank15,0.790884367
Bank72,Bank18,0.838051726
Bank72,Bank73,0.961025456
Bank72,Bank68,0.993119245
Bank4,Bank68,0.69849689
Bank4,Bank71,0.764907236
Bank4,Bank67,0.772060892
Bank4,Bank70,0.795916354
Bank4,Bank69,0.820253705
Bank68,Bank15,0.761890383
Bank68,Bank69,0.805441347
Bank68,Bank18,0.80704338
Bank68,Bank73,0.949014801
Bank68,Bank72,0.993119245
Bank35,Bank39,0.82171042
Bank35,Bank63,0.835110235
Bank35,Bank46,0.874231965
Bank35,Bank38,0.939917171
Bank35,Bank61,0.957397353
Bank14,Bank18,0.930864376
Bank14,Bank2,0.936233284
Bank14,Bank15,0.960077255
Bank14,Bank20,0.969830198
Bank14,Bank19,0.996318444
Bank24,Bank21,0.946286887
Bank24,Bank18,0.949255093
Bank24,Bank20,0.956584467
Bank24,Bank26,0.97578549
Bank24,Bank25,0.980227761
Bank25,Bank21,0.949911647
Bank25,Bank18,0.950024763
Bank25,Bank20,0.975880122
Bank25,Bank24,0.980227761
Bank25,Bank26,0.98559806
Bank5,Bank2,0.461218557
Bank5,Bank4,0.567916376
Bank5,Bank3,0.625685202
Bank5,Bank6,0.831488303
Bank5,Bank1,0.950696911
Bank74,Bank59,0.647374439
Bank74,Bank64,0.664268604
Bank74,Bank63,0.790343449
Bank74,Bank60,0.795744832
Bank74,Bank75,0.810510694
Bank53,Bank54,0.592877808
Bank53,Bank76,0.650317339
Bank53,Bank77,0.677053061
Bank53,Bank66,0.717758353
Bank53,Bank78,0.759113239
Bank55,Bank29,0.824783706
Bank55,Bank31,0.832467054
Bank55,Bank41,0.879489092
Bank55,Bank58,0.929469373
Bank55,Bank79,0.948367124
Bank52,Bank11,0.826009928
Bank52,Bank7,0.919222504
Bank52,Bank12,0.926342225
Bank52,Bank10,0.940173069
Bank52,Bank8,0.97390825
Bank79,Bank31,0.750423341
Bank79,Bank58,0.779166012
Bank79,Bank59,0.790916625
Bank79,Bank64,0.815631425
Bank79,Bank55,0.948367124
Bank80,Bank47,0.883814058
Bank80,Bank48,0.912912468
Bank80,Bank81,0.913311877
Bank80,Bank50,0.942958238
Bank80,Bank56,0.957455137
Bank44,Bank16,0.677926333
Bank44,Bank43,0.736202893
Bank44,Bank22,0.751367078
Bank44,Bank45,0.823416735
Bank44,Bank3,0.828127617
Bank61,Bank62,0.863790177
Bank61,Bank63,0.880467792
Bank61,Bank59,0.915247675
Bank61,Bank35,0.957397353
Bank61,Bank38,0.958108797
Bank37,Bank35,0.634171687
Bank37,Bank38,0.676631427
Bank37,Bank34,0.870996437
Bank37,Bank39,0.902557363
Bank37,Bank36,0.93022112
Bank11,Bank10,0.942498659
Bank11,Bank9,0.94367062
Bank11,Bank12,0.946019303
Bank11,Bank7,0.967305152
Bank11,Bank40,0.967401769
Bank63,Bank43,0.89512988
Bank63,Bank60,0.90838596
Bank63,Bank64,0.921581675
Bank63,Bank59,0.933302986
Bank63,Bank62,0.934528925
Bank17,Bank42,0.520525693
Bank17,Bank37,0.559807258
Bank17,Bank36,0.634260435
Bank17,Bank16,0.700668785
Bank17,Bank13,0.956476291
Bank73,Bank20,0.817375906
Bank73,Bank15,0.854538605
Bank73,Bank18,0.903548744
Bank73,Bank68,0.949014801
Bank73,Bank72,0.961025456
Bank57,Bank66,0.836880417
Bank57,Bank58,0.846058673
Bank57,Bank56,0.860403034
Bank57,Bank54,0.915604198
Bank57,Bank41,0.9435295
Bank29,Bank57,0.786073272
Bank29,Bank41,0.790445016
Bank29,Bank55,0.824783706
Bank29,Bank32,0.954813012
Bank29,Bank31,0.984691546
Bank82,Bank22,0.791539068
Bank82,Bank23,0.886587134
Bank82,Bank60,0.890462156
Bank82,Bank45,0.91865182
Bank82,Bank75,0.942540212
Bank46,Bank29,0.654811117
Bank46,Bank38,0.671361156
Bank46,Bank61,0.794159322
Bank46,Bank30,0.82901678
Bank46,Bank35,0.874231965
Bank15,Bank2,0.936574254
Bank15,Bank19,0.95422456
Bank15,Bank14,0.960077255
Bank15,Bank20,0.962685449
Bank15,Bank18,0.980479064
Bank77,Bank41,0.602855144
Bank77,Bank53,0.677053061
Bank77,Bank57,0.701114818
Bank77,Bank76,0.702324926
Bank77,Bank78,0.733380553
Bank69,Bank68,0.805441347
Bank69,Bank4,0.820253705
Bank69,Bank70,0.890486825
Bank69,Bank67,0.938690181
Bank69,Bank71,0.950445666
Bank18,Bank19,0.937489554
Bank18,Bank24,0.949255093
Bank18,Bank25,0.950024763
Bank18,Bank20,0.975245095
Bank18,Bank15,0.980479064
Bank78,Bank52,0.642594052
Bank78,Bank8,0.691984503
Bank78,Bank66,0.717427829
Bank78,Bank77,0.733380553
Bank78,Bank53,0.759113239
Bank65,Bank80,0.873478048
Bank65,Bank12,0.884010418
Bank65,Bank48,0.894598886
Bank65,Bank9,0.903702632
Bank65,Bank56,0.927516975
Bank49,Bank48,0.871439876
Bank49,Bank50,0.884990992
Bank49,Bank11,0.901440071
Bank49,Bank40,0.935460034
Bank49,Bank47,0.952297744
Bank23,Bank75,0.881740975
Bank23,Bank82,0.886587134
Bank23,Bank26,0.899036968
Bank23,Bank22,0.928305251
Bank23,Bank21,0.941169696
Bank45,Bank44,0.823416735
Bank45,Bank22,0.840014801
Bank45,Bank60,0.88710789
Bank45,Bank75,0.892368856
Bank45,Bank82,0.91865182
Bank12,Bank8,0.939185059
Bank12,Bank9,0.945223155
Bank12,Bank11,0.946019303
Bank12,Bank10,0.961258193
Bank12,Bank7,0.996427223
Bank56,Bank58,0.874621227
Bank56,Bank41,0.895214026
Bank56,Bank54,0.917707172
Bank56,Bank65,0.927516975
Bank56,Bank80,0.957455137
Bank9,Bank11,0.94367062
Bank9,Bank40,0.944404265
Bank9,Bank12,0.945223155
Bank9,Bank7,0.956913827
Bank9,Bank48,0.984001135
Bank81,Bank41,0.819432353
Bank81,Bank56,0.864167294
Bank81,Bank58,0.909472437
Bank81,Bank80,0.913311877
Bank81,Bank50,0.921034866
Bank43,Bank59,0.823824677
Bank43,Bank38,0.826432209
Bank43,Bank60,0.851271736
Bank43,Bank63,0.89512988
Bank43,Bank62,0.975782535
Bank71,Bank68,0.664779624
Bank71,Bank4,0.764907236
Bank71,Bank70,0.911122718
Bank71,Bank69,0.950445666
Bank71,Bank67,0.992374675
Bank75,Bank74,0.810510694
Bank75,Bank23,0.881740975
Bank75,Bank45,0.892368856
Bank75,Bank82,0.942540212
Bank75,Bank60,0.953313177
Bank76,Bank42,0.468741369
Bank76,Bank34,0.51699953
Bank76,Bank78,0.620830779
Bank76,Bank53,0.650317339
Bank76,Bank77,0.702324926
Bank70,Bank68,0.542703251
Bank70,Bank4,0.795916354
Bank70,Bank69,0.890486825
Bank70,Bank71,0.911122718
Bank70,Bank67,0.944786254
Bank50,Bank48,0.9132467
Bank50,Bank81,0.921034866
Bank50,Bank51,0.921323584
Bank50,Bank80,0.942958238
Bank50,Bank47,0.957016134
Bank58,Bank57,0.846058673
Bank58,Bank56,0.874621227
Bank58,Bank81,0.909472437
Bank58,Bank55,0.929469373
Bank58,Bank41,0.971211593
Bank51,Bank9,0.90438784
Bank51,Bank40,0.90520953
Bank51,Bank50,0.921323584
Bank51,Bank48,0.944935405
Bank51,Bank47,0.972765373
Bank64,Bank61,0.859942093
Bank64,Bank60,0.88898578
Bank64,Bank62,0.912485563
Bank64,Bank63,0.921581675
Bank64,Bank59,0.992656168
Bank33,Bank31,0.682288375
Bank33,Bank65,0.710943669
Bank33,Bank57,0.759904087
Bank33,Bank32,0.80873476
Bank33,Bank28,0.929218318
Bank38,Bank62,0.873281741
Bank38,Bank34,0.884112218
Bank38,Bank39,0.904586998
Bank38,Bank35,0.939917171
Bank38,Bank61,0.958108797
Bank31,Bank57,0.813543189
Bank31,Bank41,0.820490206
Bank31,Bank55,0.832467054
Bank31,Bank32,0.967245448
Bank31,Bank29,0.984691546
Bank26,Bank18,0.915517383
Bank26,Bank20,0.928511816
Bank26,Bank24,0.97578549
Bank26,Bank21,0.978597181
Bank26,Bank25,0.98559806
Bank48,Bank50,0.9132467
Bank48,Bank40,0.937339828
Bank48,Bank47,0.942556005
Bank48,Bank51,0.944935405
Bank48,Bank9,0.984001135
Bank10,Bank52,0.940173069
Bank10,Bank11,0.942498659
Bank10,Bank12,0.961258193
Bank10,Bank8,0.961533798
Bank10,Bank7,0.96707302
Bank20,Bank15,0.962685449
Bank20,Bank14,0.969830198
Bank20,Bank19,0.973373022
Bank20,Bank18,0.975245095
Bank20,Bank25,0.975880122
Bank32,Bank57,0.775354842
Bank32,Bank33,0.80873476
Bank32,Bank28,0.911629056
Bank32,Bank29,0.954813012
Bank32,Bank31,0.967245448
Bank66,Bank8,0.799339847
Bank66,Bank12,0.800837121
Bank66,Bank56,0.823137855
Bank66,Bank57,0.836880417
Bank66,Bank54,0.973328499
Bank60,Bank45,0.88710789
Bank60,Bank64,0.88898578
Bank60,Bank82,0.890462156
Bank60,Bank63,0.90838596
Bank60,Bank75,0.953313177
