source,target,exposure
IT,GR,135.057
BA,5A,70.907
4T,5A,96935.735
AR,5A,41.771
AO,5A,56.368
AU,5A,1145.542
AT,5A,2602.877
PT,GR,0.534
AL,5A,3.807
AI,5A,1.764
PL,GR,6.169
AD,5A,5.243
4L,5A,3116.269
5J,BM,1434.789
RO,GR,951.858
5R,5A,1164662.2
AE,5A,9742.704
5J,BM,-0.007
5M,5A,144.125
5K,5A,855850.715
5C,5A,626632.918
4Y,5A,20473.076
3C,5A,7934.195
4T,5A,59980.641
4W,5A,23071.872
NL,GR,10.375
4U,5A,3634.327
MT,GR,168.056
5J,BM,12379.485
5J,BM,10944.703
5J,5A,2511587.128
1W,5A,1.363
ZM,5A,79.0
BG,5A,17.991
ZA,5A,1178.001
ST,5A,5.824
NO,5A,15537.81
BF,5A,4.296
SX,5A,8.15
ZW,5A,48.0
SV,5A,7.299
NZ,5A,1.74
BH,5A,3.25
SM,5A,71.378
NG,5A,195.0
BB,5A,0.063
2Z,5A,1366.716
SL,5A,0.148
NE,5A,2.695
BA,5A,86.53
SR,5A,1.802
NL,5A,191911.067
BE,5A,308.551
YE,5A,2.0
SN,5A,93.788
BD,5A,110.189
VE,5A,78.337
SG,5A,1344.653
MZ,5A,54.735
AU,5A,88.989
SE,5A,1695.289
MY,5A,275.903
AT,5A,264.093
5J,5A,24961.87
VN,5A,1119.747
SK,5A,185.116
NC,5A,1794.0
AZ,5A,1.113
SI,5A,240.468
2W,5A,0.01
1C,5A,966.63
SA,5A,885.862
2R,5A,1.621
US,5A,36.421
RW,5A,5.978
MU,5A,100.791
VA,5A,0.199
SD,5A,0.322
MX,5A,8.184
AR,5A,3.039
5J,IM,1793.583
UZ,5A,239.024
SC,5A,12.278
AO,5A,2.003
5J,TW,23861.848
TZ,5A,1011.429
RO,5A,252.319
MO,5A,2999.873
AF,5A,0.433
QA,5A,451.816
AE,5A,41.962
BE,GR,34.401
BW,5A,13.0
UG,5A,1159.988
RU,5A,604.11
MT,5A,733.142
AL,5A,113.695
UA,5A,928.0
RS,5A,55.649
TN,5A,1559.216
PT,5A,1996.501
MK,5A,202.456
5M,5A,147.914
TM,5A,117.0
PS,5A,1.64
MH,5A,1.0
5K,5A,27717.086
TT,5A,140.608
PY,5A,45.39
AD,5A,2.629
2N,5A,778.267
BG,GR,4.652
TR,5A,3626.305
ML,5A,68.0
5R,5A,29738.148
TD,5A,106.0
PG,5A,3.689
MA,5A,686.76
2C,5A,4.28
PF,5A,125.774
LY,5A,14.0
PL,5A,886.468
MG,5A,7.0
TH,5A,0.001
PK,5A,10.589
ME,5A,54.646
TG,5A,206.017
PH,5A,56.795
SI,GR,0.075
OM,5A,52.989
LT,5A,4189.813
SK,GR,0.131
NZ,5A,104.509
LR,5A,1.0
5J,IN,53528.702
5J,IN,34431.811
PE,5A,102.275
LV,5A,1327.761
SE,GR,13.155
AT,GR,1.09
PA,5A,125.362
LU,5A,114722.476
SR,5A,33.774
NL,5A,17290.995
4W,5A,3234.144
FR,GR,223.384
SN,5A,4486.987
NI,5A,0.835
LB,5A,2.127
4U,5A,341.651
NP,5A,1.647
LK,5A,1.0
5C,5A,20970.223
5J,5A,34.916
ZA,5A,185.281
ST,5A,30.723
NO,5A,1226.488
LI,5A,1935.421
4Y,5A,10961.548
VN,5A,33.798
SK,5A,14.074
NC,5A,229.222
KY,5A,4889.727
VG,5A,766.204
SI,5A,260.584
KW,5A,166.529
1W,5A,1.363
WS,5A,114.739
SM,5A,0.017
NG,5A,114.192
LA,5A,5.0
2B,5A,131.388
GB,GR,405.238
NE,5A,6.638
KZ,5A,2.007
4T,5A,29040.854
VA,5A,0.144
SD,5A,10.0
MX,5A,640.049
KN,5A,1.0
5J,BM,170.214
EE,GR,0.053
UZ,5A,1.087
SC,5A,7.0
MW,5A,2.006
KH,5A,2.0
VE,5A,2.0
SG,5A,221.0
MZ,5A,92.083
KR,5A,1946.994
VC,5A,8.729
SE,5A,102.336
MY,5A,81.829
RU,5A,26.13
MT,5A,445.618
JP,5A,55807.312
UA,5A,55.441
RS,5A,1237.06
MR,5A,4.986
JO,5A,34.016
FI,GR,0.281
UY,5A,19.851
SA,5A,857.439
MV,5A,1.398
US,5A,187081.6
RW,5A,389.0
MU,5A,156.181
KE,5A,25.485
ES,GR,1.625
TT,5A,2.001
MM,5A,4.129
IT,5A,178512.689
4L,5A,2021.062
CZ,GR,1.619
TR,5A,3406.013
ML,5A,8.413
5J,FI,5.213
TZ,5A,22.0
RO,5A,12.303
MO,5A,21.61
TW,5A,198.204
QA,5A,13708.666
MN,5A,0.071
JE,5A,1960.224
CY,GR,677.305
DK,GR,2.022
PL,5A,632.436
MG,5A,63.017
IN,5A,1997.788
TH,5A,43.237
PK,5A,461.574
ME,5A,35.434
IM,5A,483.0
DE,GR,190.005
TN,5A,0.054
PT,5A,444.065
MK,5A,5.875
IR,5A,116.708
MH,5A,16.261
IQ,5A,1.991
PE,5A,312.365
LV,5A,48.466
HU,5A,7962.781
PA,5A,3.0
LU,5A,3194.173
3C,5A,14503.511
TG,5A,0.186
PH,5A,1034.156
MD,5A,8.08
IL,5A,106.271
PG,5A,32.467
MA,5A,262.039
IE,5A,65432.116
TC,5A,1.541
PF,5A,1051.0
LY,5A,7.51
ID,5A,43.161
NP,5A,0.001
LK,5A,9.903
HK,5A,12883.268
NO,5A,181.241
LI,5A,298.665
SX,5A,0.053
LT,5A,77.679
HR,5A,795.871
LR,5A,10.173
HN,5A,1.0
NG,5A,398.003
LA,5A,4.799
2Z,5A,646.419
NE,5A,196.0
KZ,5A,96.373
GN,5A,1.0
NL,5A,178.956
LC,5A,28.41
SN,5A,208.747
NI,5A,15.012
LB,5A,520.406
GR,5A,3146.56
SG,5A,3014.344
MZ,5A,585.186
KR,5A,67.589
SE,5A,5358.649
MY,5A,0.001
GH,5A,6.0
5J,5A,1213915.53
SK,5A,1378.086
NC,5A,1682.0
KY,5A,116.557
GM,5A,1.0
SI,5A,639.061
KW,5A,178.95
1C,5A,3266.603
SA,5A,28.979
MV,5A,55.0
KG,5A,1.525
RW,5A,21.028
MU,5A,556.0
KE,5A,78.887
GB,5A,328484.949
MX,5A,2072.861
KN,5A,3.757
GG,5A,2.0
SC,5A,81.182
KH,5A,11.995
GE,5A,21.0
RO,5A,2828.383
JM,5A,4.258
IT,GR,58.636
QA,5A,11516.457
MN,5A,104.655
JE,5A,135.771
RU,5A,408.302
MT,5A,1.004
JP,5A,160.788
GA,5A,4.0
RS,5A,613.726
MR,5A,71.002
JO,5A,50.814
FR,5A,475285.249
PT,5A,2302.413
MK,5A,99.0
IR,5A,34.986
ET,5A,1.0
HR,GR,6.394
IQ,5A,5.068
ES,5A,97454.328
MM,5A,10.059
IT,5A,3387.624
PU,5A,1.0
ML,5A,175.414
IS,5A,48.36
FI,5A,70290.466
PH,5A,22.313
MD,5A,135.97
IL,5A,826.635
IE,GR,348.112
MA,5A,2799.667
IE,5A,1159.383
DZ,5A,31.0
2C,5A,4.28
LY,5A,1.314
ID,5A,102.549
DO,5A,1.0
PL,5A,3137.695
MG,5A,226.0
IN,5A,65.1
EG,5A,121.264
HU,GR,0.017
PK,5A,1.0
ME,5A,282.294
IM,5A,353.534
EE,5A,1411.971
OM,5A,3.51
LT,5A,19.072
HR,5A,110.41
DJ,5A,534.958
NZ,5A,114.374
HN,5A,14.742
DE,5A,451643.908
PE,5A,39.148
LV,5A,153.795
HU,5A,330.09
PA,5A,806.808
LU,5A,534.459
HT,5A,2.131
DK,5A,13929.92
5J,TW,31131.694
NL,5A,53171.957
LC,5A,1.0
GT,5A,9.966
CY,5A,6.003
LB,5A,52.0
GR,5A,774.31
CW,5A,1.766
LK,5A,554.091
HK,5A,1011.014
NO,5A,538.215
GW,5A,6.016
CZ,5A,20542.415
NC,5A,11.0
KY,5A,2.0
GM,5A,3.878
5J,IN,19046.446
KW,5A,0.005
GL,5A,0.604
CR,5A,1.0
NG,5A,16.433
LA,5A,77.916
GQ,5A,10.234
CV,5A,0.281
2B,5A,131.388
MT,GR,168.056
KZ,5A,1.001
GN,5A,15.631
CU,5A,1.0
MX,5A,813.948
GG,5A,32.99
CM,5A,100.715
KH,5A,496.0
GE,5A,32.597
CL,5A,0.182
KR,5A,1.04
GI,5A,87.332
CO,5A,4.003
MY,5A,48.995
KP,5A,9.0
GH,5A,36.529
CN,5A,6461.168
MT,5A,673.367
JP,5A,5.046
GA,5A,62.487
CG,5A,3.0
JO,5A,1474.0
FR,5A,11436.131
GD,5A,0.308
CI,5A,210.629
MU,5A,471.558
KE,5A,1584.923
GB,5A,13124.876
CH,5A,44887.257
IT,5A,7994.997
FJ,5A,1.929
ML,5A,9.996
FI,5A,511.9
FO,5A,0.147
JE,5A,1.0
CA,5A,13629.216
LU,GR,251.796
IN,5A,3026.002
EG,5A,201.598
BS,5A,23.304
ME,5A,0.162
EE,5A,67.188
BR,5A,1561.204
MK,5A,79.299
IR,5A,0.006
ET,5A,11.626
LT,GR,0.073
MH,5A,237.524
IQ,5A,945.073
ES,5A,4278.192
LY,5A,23.0
ID,5A,7282.425
DO,5A,69.136
BN,5A,0.128
LV,5A,42.458
HU,5A,365.637
DM,5A,1.222
BM,5A,0.038
LU,5A,137110.004
HT,5A,0.007
DK,5A,438.609
BJ,5A,41.0
IL,5A,146.71
EC,5A,30.482
MA,5A,1.081
IE,5A,106.276
DZ,5A,48.745
BO,5A,2.0
HK,5A,2.0
BG,5A,2985.446
LI,5A,163.938
GW,5A,0.001
CZ,5A,382.341
BF,5A,11.881
LT,5A,113.852
HR,5A,18.983
DJ,5A,15.512
LR,5A,39.876
HN,5A,43.922
DE,5A,17427.091
BH,5A,4679.269
GQ,5A,0.003
CV,5A,6.807
KZ,5A,20.146
GN,5A,154.0
CU,5A,8.456
BA,5A,196.294
GT,5A,6.0
CY,5A,793.479
BE,5A,82648.698
LB,5A,26.582
GR,5A,12203.597
CW,5A,30.072
BD,5A,139.816
SE,GR,4.186
SK,GR,0.131
SI,GR,0.075
5J,BH,107789.0
5J,BH,149752.0
PT,GR,0.511
RO,GR,316.757
PL,GR,0.324
5J,BH,8834.0
5J,BH,33129.0
NL,GR,10.375
5J,KY,5583.0
5J,5A,207075.431
5J,5A,201128.755
5J,KY,50513.0
5J,KY,56096.0
5J,TW,5417.2
4L,5A,308811.485
5J,IM,4578.302
5J,IM,4691.96
3C,5A,12801.366
1C,5A,0.373
2Z,5A,2797.618
5J,5A,142592.706
5J,IT,2817645.636
5J,GG,365.073
5J,GG,1385.167
5J,IM,1.04
5J,IM,112.618
5J,5A,147333.747
1W,5A,0.001
1C,5A,2034.852
5J,GG,21026.935
5J,GG,19276.695
1C,5A,5043.094
5J,5A,1229830.06
5J,5A,2605541.908
5J,5A,10904721.847
5J,5A,53864.053
5J,TW,18582.277
5J,5A,3300.018
SB,5A,0.035
5J,5A,671.0
5J,5A,129238.829
BW,5A,3.0
FK,5A,0.001
ZW,5A,1.034
ZM,5A,18.933
ZA,5A,5.696
5J,IT,1812.03
5J,IT,22533.813
VN,5A,1311.753
WS,5A,121.441
VE,5A,0.204
UY,5A,0.01
US,5A,1326.253
TR,5A,8759.332
TN,5A,36.0
PW,5A,1.001
TW,5A,528.381
TH,5A,1358.267
5J,IT,182775.216
5J,IT,158429.373
TM,5A,2.889
ZA,5A,2.724
SN,5A,4.852
VE,5A,-0.974
SG,5A,12.0
SB,5A,2.676
SE,5A,23.117
VN,5A,1.003
VG,5A,10.722
SI,5A,1.0
WF,5A,24.001
UY,5A,0.028
SA,5A,138.002
TV,5A,0.139
US,5A,1364.741
RW,5A,6.021
TL,5A,3.99
UG,5A,-2.0
RU,5A,32.26
SC,5A,54.03
SO,5A,2.378
TW,5A,-0.996
QA,5A,304.973
TF,5A,0.282
UA,5A,0.001
RS,5A,1.0
SS,5A,0.005
TZ,5A,1.0
KM,5A,5.804
TM,5A,1.0
FK,5A,86.435
PL,5A,96.859
TR,5A,97.595
LS,5A,0.001
TN,5A,3.07
PT,5A,32.334
PG,5A,16.873
PF,5A,0.347
AG,5A,14.179
PK,5A,110.3
PH,5A,790.536
OM,5A,58.74
SV,5A,0.015
NZ,5A,182.29
PE,5A,23.858
PA,5A,238.972
NL,5A,1170.855
NP,5A,7.406
NO,5A,7.202
SK,5A,1.09
NG,5A,60.304
SL,5A,3.0
GY,5A,31.719
MX,5A,15.398
ER,5A,0.05
SG,5A,6.086
MZ,5A,4.636
SE,5A,70.917
MY,5A,783.094
5J,IT,5512.121
5J,CY,13.327
PK,5A,1.713
IM,5A,1753.999
BR,5A,2.023
PH,5A,100.142
IL,5A,1845.776
PS,5A,0.015
IQ,5A,1243.186
5K,5A,7052.456
PL,5A,40.989
IN,5A,7188.731
BS,5A,1.0
5J,BS,244.429
PE,5A,2.683
HU,5A,9164.471
BM,5A,3.788
PA,5A,129.904
HT,5A,2.138
IE,5A,27807.446
BO,5A,0.002
PF,5A,1.0
ID,5A,8047.232
5J,CY,134.859
NP,5A,5.693
HK,5A,9574.422
BG,5A,0.007
5C,5A,4272.054
NO,5A,396.849
GW,5A,6.066
4Y,5A,23840.466
OM,5A,0.535
HR,5A,1741.525
NZ,5A,19.386
HN,5A,68.474
BH,5A,0.009
NG,5A,3.58
GQ,5A,10.237
NE,5A,-0.482
GN,5A,824.215
BA,5A,-1.0
4T,5A,36881.523
NL,5A,5091.885
5J,ZA,3281.0
GT,5A,29.139
BE,5A,451.533
4W,5A,3138.689
NI,5A,0.007
GR,5A,15645.718
BD,5A,1.0
4U,5A,932.284
MZ,5A,0.027
GI,5A,160.376
AU,5A,50.776
MY,5A,81.8
GH,5A,2481.432
AT,5A,61.853
NC,5A,-1.0
GM,5A,29.594
AZ,5A,-0.968
GL,5A,77.195
MV,5A,0.537
GD,5A,0.31
MU,5A,3.52
GB,5A,51237.815
AM,5A,-1.0
MX,5A,13.475
GG,5A,1051.147
AR,5A,2.192
GE,5A,1223.518
AO,5A,14.094
MO,5A,2.747
FO,5A,138.869
PW,5A,0.001
MN,5A,0.074
AE,5A,0.841
MT,5A,65.514
GA,5A,830.381
AL,5A,1.0
MR,5A,0.003
FR,5A,120782.421
KM,5A,1.0
MH,5A,35.766
ES,5A,47300.176
5K,5A,21818.635
MG,5A,1.0
EG,5A,11567.429
MM,5A,-1.0
FJ,5A,5.775
AD,5A,28.827
4L,5A,14157.446
ML,5A,-0.89
FI,5A,18237.271
5R,5A,23354.279
MK,5A,9.097
ET,5A,514.22
5M,5A,-124.106
MA,5A,49.41
DZ,5A,86.793
LY,5A,0.138
DO,5A,616.18
ME,5A,0.01
EE,5A,1169.918
MD,5A,0.005
EC,5A,106.879
LT,5A,60.79
DJ,5A,16.56
LR,5A,4.404
DE,5A,121438.072
LV,5A,46.097
DM,5A,3.222
LU,5A,2995.555
DK,5A,12964.819
3C,5A,8970.084
CY,5A,2566.489
4W,5A,54.869
LB,5A,0.035
CW,5A,145.421
4U,5A,154.78
LK,5A,-0.779
5C,5A,13826.233
LI,5A,1.012
CZ,5A,8081.32
4Y,5A,128.339
KY,5A,704.906
KW,5A,1.183
CR,5A,390.262
2W,5A,79.01
LA,5A,1.207
CV,5A,561.457
2Z,5A,7107.174
KZ,5A,24.282
CU,5A,176.267
4T,5A,765.067
CM,5A,2201.413
KH,5A,-0.809
CL,5A,330.857
KR,5A,232.285
CO,5A,3336.413
CN,5A,12336.306
TL,5A,3.99
JP,5A,22.338
CG,5A,601.402
2O,5A,0.011
TF,5A,0.278
JO,5A,1.348
CF,5A,52.107
WF,5A,6.0
KG,5A,0.221
CI,5A,8034.662
2R,5A,0.01
KE,5A,4.057
CH,5A,40924.66
IT,5A,328.821
4L,5A,1535.652
2N,5A,0.006
IS,5A,4.116
BZ,5A,28.484
SS,5A,0.005
JM,5A,0.004
CD,5A,156.119
SO,5A,0.347
JE,5A,2.347
CA,5A,4398.089
AG,5A,0.179
IM,5A,0.126
BR,5A,11355.146
IL,5A,4.957
BQ,5A,9.326
LS,5A,0.001
IR,5A,4.291
BY,5A,87.691
KM,5A,1.001
IQ,5A,1.043
BT,5A,14.633
FK,5A,0.064
IN,5A,240.564
BS,5A,782.281
2H,5A,34.002
HU,5A,934.558
BM,5A,3383.616
BJ,5A,2136.89
3C,5A,427.079
IE,5A,1368.146
BO,5A,736.971
2C,5A,7.0
ID,5A,112.856
BN,5A,6.906
HK,5A,6490.909
BG,5A,1153.33
ZA,5A,261.834
GW,5A,0.01
BF,5A,493.381
HR,5A,1.174
BI,5A,2.82
HN,5A,0.013
BH,5A,185.732
BB,5A,71.042
2Z,5A,7.136
2B,5A,49.002
GN,5A,602.364
BA,5A,325.026
GT,5A,0.47
BE,5A,53825.712
5J,FI,622.493
GR,5A,194.109
BD,5A,1378.032
VE,5A,1.0
GI,5A,0.028
AU,5A,1274.432
GH,5A,174.181
AT,5A,32031.643
VN,5A,49.0
GM,5A,18.529
AZ,5A,767.585
VG,5A,1.0
GL,5A,0.005
AW,5A,39.748
2W,5A,-0.174
WF,5A,17.0
UY,5A,0.011
2R,5A,-0.008
US,5A,42619.949
GB,5A,1523.163
AM,5A,437.583
GY,5A,2.501
GG,5A,1.384
AR,5A,609.202
ER,5A,0.016
UZ,5A,1.0
GE,5A,1.626
AO,5A,5068.462
TZ,5A,1.0
FO,5A,0.016
AF,5A,2.557
SO,5A,2.0
TW,5A,695.112
AE,5A,5341.453
BW,5A,6.467
UG,5A,34.224
AL,5A,629.858
2O,5A,-0.01
UA,5A,6.935
FR,5A,3978.576
AI,5A,9.08
TN,5A,77.0
ET,5A,0.132
5M,5A,1389.372
ES,5A,485.545
5K,5A,885830.536
EG,5A,96.605
FJ,5A,3.846
AD,5A,255.117
TR,5A,2675.75
FI,5A,170.747
5R,5A,936086.257
TD,5A,1.0
DZ,5A,1.043
DO,5A,0.12
TH,5A,356.829
EE,5A,262.817
TG,5A,15.0
EC,5A,2.621
SX,5A,2.0
DJ,5A,1.0
ZW,5A,4.63
DE,5A,5275.752
DM,5A,-1.0
DK,5A,2689.05
CY,5A,3.327
4W,5A,92666.349
YE,5A,0.212
SN,5A,108.244
CW,5A,15.188
4U,5A,32872.195
ZM,5A,6.414
5C,5A,745834.972
ZA,5A,228.794
CZ,5A,126.566
4Y,5A,53799.801
VN,5A,78.833
SK,5A,5554.098
VG,5A,1.583
SI,5A,693.609
CR,5A,0.163
1C,5A,753.419
CV,5A,5.059
VU,5A,3.0
CU,5A,-0.962
4T,5A,272395.031
VA,5A,0.079
CM,5A,4.777
UZ,5A,22.992
CL,5A,7.728
VE,5A,225.694
SG,5A,44109.127
CO,5A,1.885
VC,5A,0.468
SE,5A,28327.209
CN,5A,2641.471
5J,5A,58799.772
UG,5A,9.543
RU,5A,260.063
CG,5A,1.025
UA,5A,92.225
RS,5A,864.7
CF,5A,-1.0
UY,5A,106.21
SA,5A,272.0
CI,5A,1271.813
US,5A,5826.448
RW,5A,1.0
CH,5A,161.814
TT,5A,3.009
4L,5A,50254.1
TR,5A,316.083
BZ,5A,7.298
TZ,5A,13.514
RO,5A,2918.593
CD,5A,9.759
TW,5A,77.832
QA,5A,7842.548
CA,5A,19.433
FK,5A,1.0
TJ,5A,0.096
PL,5A,8817.537
BS,5A,25.992
TH,5A,246.735
PK,5A,11.307
BR,5A,125.222
TG,5A,8.674
PH,5A,8.02
TN,5A,73.009
PT,5A,26636.791
BY,5A,0.293
TM,5A,0.002
PS,5A,10.0
BT,5A,9.324
SZ,5A,0.959
PE,5A,201.009
BM,5A,2.007
SY,5A,4.145
PA,5A,46.345
BJ,5A,37.905
3C,5A,93056.686
TD,5A,5.001
BO,5A,0.03
TC,5A,12.974
PF,5A,571.0
BN,5A,0.128
BW,5A,6.682
RU,5A,1.534
MT,5A,59.691
RS,5A,1.0
MR,5A,6.443
RO,5A,0.031
MO,5A,35.565
SA,5A,0.019
MV,5A,72.446
MU,5A,478.615
PT,5A,617.686
QA,5A,1.02
MN,5A,66.182
5J,NL,2762822.589
5J,NL,1282363.783
PY,5A,0.003
MM,5A,32.674
PH,5A,1.004
5J,NL,1480458.812
MH,5A,188.552
PL,5A,312.707
MG,5A,8.441
PE,5A,0.97
LV,5A,1.0
PA,5A,1.12
LU,5A,882.447
MA,5A,17.046
LY,5A,11.0
ZM,5A,86.355
LK,5A,51.789
ZA,5A,2525.792
NO,5A,101.961
LI,5A,13.055
5J,5A,1084.0
ZW,5A,99.821
NZ,5A,-1.0
LR,5A,78.153
WS,5A,152.939
NG,5A,1.0
LA,5A,33.457
VU,5A,3.0
NL,5A,636.476
YE,5A,2.212
LB,5A,22.018
VE,5A,350.477
MZ,5A,1.0
KR,5A,304.728
VC,5A,41.973
MY,5A,1.001
VN,5A,1513.314
KY,5A,2450.008
VG,5A,844.763
KW,5A,60.183
WF,5A,1.0
UY,5A,306.594
TV,5A,0.139
US,5A,23238.548
MU,5A,0.004
KE,5A,33.218
VA,5A,0.278
MX,5A,109.234
UZ,5A,801.466
KH,5A,66.772
SO,5A,0.031
TW,5A,450.199
JE,5A,1.0
TT,5A,160.173
MM,5A,1.0
IT,5A,34.958
5J,DE,69.0
UG,5A,1278.706
MT,5A,0.085
JP,5A,916.037
5J,DE,69.0
TF,5A,0.004
UA,5A,1604.578
MR,5A,2.0
JO,5A,8.166
TZ,5A,1119.346
TM,5A,117.274
IQ,5A,13.369
TJ,5A,0.109
MG,5A,-1.0
IN,5A,3349.705
TR,5A,21216.449
TN,5A,2242.681
MK,5A,1.0
TD,5A,113.069
MA,5A,1.216
IE,5A,721.395
TC,5A,17.8
LY,5A,9.0
ID,5A,2999.039
TH,5A,382.372
ME,5A,-0.999
IM,5A,17.668
TG,5A,253.342
MD,5A,-1.0
IL,5A,1.95
SX,5A,9.278
LT,5A,1.0
SV,5A,14.978
LR,5A,-1.0
SZ,5A,2.969
LV,5A,1.0
HU,5A,13.043
SY,5A,37.213
LU,5A,233.459
SR,5A,36.439
SN,5A,6035.869
GR,5A,46.938
LK,5A,-1.0
HK,5A,6551.711
ST,5A,36.574
LI,5A,-1.0
SK,5A,3658.217
SI,5A,2057.814
KW,5A,1.0
SM,5A,214.004
SL,5A,4.438
KZ,5A,1.0
SD,5A,22.463
KN,5A,-1.0
GG,5A,312.443
ER,5A,0.034
SC,5A,132.197
SG,5A,3413.303
KR,5A,-0.97
GI,5A,4.733
SE,5A,14825.191
GH,5A,6.888
BW,5A,0.215
RU,5A,18742.263
JP,5A,-0.038
RS,5A,4470.752
JO,5A,-0.976
FR,5A,784.033
SA,5A,3090.864
RW,5A,399.795
KE,5A,4.0
GB,5A,2032.712
IS,5A,0.003
FI,5A,1.0
PT,5A,9785.474
RO,5A,4308.691
QA,5A,15841.829
JE,5A,0.265
PY,5A,78.893
IT,5A,1163.002
FJ,5A,0.179
PK,5A,504.699
IM,5A,0.004
EE,5A,1.0
PH,5A,1220.501
IL,5A,0.789
PS,5A,1.655
IQ,5A,1.001
ES,5A,97.009
PL,5A,22173.811
IN,5A,26.018
EG,5A,67.636
PE,5A,647.158
HU,5A,3.878
PA,5A,7589.427
DK,5A,56.962
PG,5A,36.156
IE,5A,1050.211
PF,5A,1223.496
ID,5A,-0.971
DO,5A,0.035
ZM,5A,0.94
